
"time","usr","sys","idl","wai","hiq","siq","read","writ","memused","buff","cach","free","used","free","recv","send"
08-05 03:47:29,53.245,8.452,34.956,0.170,0.0,3.177,0.0,3405516.800,22837649408.0,1486848.0,4603891712.0,23024250880.0,0.0,25375535104.0,23867917.200,14100844.0
08-05 03:47:34,52.111,8.436,36.097,0.144,0.0,3.211,0.0,1658880.0,22836064256.0,1486848.0,4612096000.0,23017631744.0,0.0,25375535104.0,23909973.800,14015016.800
08-05 03:47:39,56.128,8.491,31.990,0.136,0.008,3.247,0.0,1778688.0,22834909184.0,1486848.0,4620378112.0,23010504704.0,0.0,25375535104.0,24626218.400,14623209.600
08-05 03:47:44,53.187,10.642,32.844,0.119,0.0,3.208,0.0,1672806.400,22833524736.0,1486848.0,4628971520.0,23003295744.0,0.0,25375535104.0,23806984.200,14182990.400
08-05 03:47:49,54.185,8.516,34.250,0.119,0.0,2.929,0.0,1676595.200,22834290688.0,1486848.0,4636598272.0,22994903040.0,0.0,25375535104.0,23890346.200,14214837.400
08-05 03:47:54,53.933,8.547,34.239,0.111,0.0,3.170,0.0,1654784.0,22832332800.0,1486848.0,4644708352.0,22988750848.0,0.0,25375535104.0,24064773.600,14336250.800
08-05 03:47:59,54.108,8.232,34.492,0.162,0.009,2.997,0.0,2112716.800,22831198208.0,1486848.0,4548337664.0,23086256128.0,0.0,25375535104.0,23571433.400,13994079.400
08-05 03:48:04,54.485,9.913,32.318,0.085,0.0,3.200,0.0,1667891.200,22830546944.0,1486848.0,4556455936.0,23078789120.0,0.0,25375535104.0,24096164.800,14375680.0
08-05 03:48:09,53.969,8.331,34.672,0.128,0.0,2.899,0.0,1659187.200,22827814912.0,1486848.0,4564774912.0,23073202176.0,0.0,25375535104.0,23548285.0,14143541.400
08-05 03:48:14,53.611,8.491,34.653,0.136,0.009,3.100,0.0,1645977.600,22829662208.0,1486848.0,4572631040.0,23063498752.0,0.0,25375535104.0,23729878.600,14004460.200
08-05 03:48:19,51.150,8.583,36.922,0.119,0.0,3.226,0.0,1704038.400,22827544576.0,1486848.0,4580761600.0,23057485824.0,0.0,25375535104.0,23929831.0,14155378.800
08-05 03:48:24,54.428,9.857,32.211,0.119,0.0,3.385,0.0,1694208.0,22828421120.0,1486848.0,4589502464.0,23047868416.0,0.0,25375535104.0,24515003.0,14572394.0
08-05 03:48:29,53.093,8.591,34.968,0.161,0.0,3.187,0.0,1684582.400,22826119168.0,1486848.0,4597522432.0,23042150400.0,0.0,25375535104.0,23968217.800,14450790.0
08-05 03:48:34,56.336,8.943,31.561,0.127,0.0,3.032,0.0,3484262.400,22827220992.0,1486848.0,4605501440.0,23033069568.0,0.0,25375535104.0,24196557.400,14473385.400
08-05 03:48:39,55.314,8.419,33.188,0.111,0.009,2.960,0.0,1717350.400,22825758720.0,1486848.0,4613472256.0,23026561024.0,0.0,25375535104.0,23918939.200,14211117.800
08-05 03:48:44,54.341,10.740,31.691,0.128,0.0,3.099,0.0,1694105.600,22825750528.0,1486848.0,4622278656.0,23017762816.0,0.0,25375535104.0,23885286.800,14450339.800
08-05 03:48:49,53.395,8.429,35.050,0.136,0.0,2.991,0.0,1620992.0,22813220864.0,1486848.0,4629450752.0,23023120384.0,0.0,25375535104.0,23195320.200,13796881.600
08-05 03:48:54,54.332,8.740,33.606,0.119,0.0,3.203,0.0,1701376.0,22809415680.0,1486848.0,4637880320.0,23018496000.0,0.0,25375535104.0,24366562.400,14636206.200
08-05 03:48:59,53.481,8.513,34.819,0.162,0.009,3.017,0.0,2112102.400,22808473600.0,1486848.0,4541321216.0,23115997184.0,0.0,25375535104.0,23877143.400,14189928.0
08-05 03:49:04,53.856,10.790,32.200,0.128,0.0,3.027,0.0,1646694.400,22808420352.0,1486848.0,4549586944.0,23107784704.0,0.0,25375535104.0,23496981.800,14181927.600
08-05 03:49:09,55.943,8.363,32.538,0.120,0.0,3.036,0.0,1692057.600,22806110208.0,1486848.0,4557725696.0,23101956096.0,0.0,25375535104.0,24181461.0,14362944.200
08-05 03:49:14,55.006,8.505,33.373,0.111,0.009,2.997,0.0,1655705.600,22804586496.0,1486848.0,4565942272.0,23095263232.0,0.0,25375535104.0,23559328.200,14086048.200
08-05 03:49:19,55.651,8.638,32.630,0.102,0.0,2.979,0.0,1713049.600,22804393984.0,1486848.0,4574531584.0,23086866432.0,0.0,25375535104.0,24056842.600,14295164.0
08-05 03:49:24,53.574,9.973,33.271,0.119,0.009,3.055,0.0,1628467.200,22803214336.0,1486848.0,4582612992.0,23079964672.0,0.0,25375535104.0,23393129.0,14064834.600
08-05 03:49:29,55.324,8.524,32.870,0.145,0.0,3.137,0.0,1687654.400,22804156416.0,1486848.0,4590120960.0,23071514624.0,0.0,25375535104.0,24126913.600,14352543.600
08-05 03:49:34,53.769,8.753,34.197,0.127,0.0,3.153,0.0,3421388.800,22803435520.0,1486848.0,4598300672.0,23064055808.0,0.0,25375535104.0,23877931.400,14315130.200
08-05 03:49:39,55.276,8.696,32.825,0.111,0.0,3.092,0.0,1773158.400,22802739200.0,1486848.0,4606640128.0,23056412672.0,0.0,25375535104.0,24041991.600,14317992.600
08-05 03:49:44,54.869,10.571,31.322,0.110,0.0,3.127,0.0,1607270.400,22804611072.0,1486848.0,4614533120.0,23046647808.0,0.0,25375535104.0,23731384.200,14196740.0
08-05 03:49:49,55.543,8.891,32.397,0.120,0.0,3.049,0.0,1753395.200,22800261120.0,1486848.0,4623429632.0,23042101248.0,0.0,25375535104.0,24272905.400,14604786.800
08-05 03:49:54,56.340,8.413,32.287,0.127,0.0,2.833,0.0,1668096.0,22799679488.0,1486848.0,4631293952.0,23034818560.0,0.0,25375535104.0,23686992.200,14002135.400
08-05 03:49:59,55.583,8.462,32.790,0.171,0.0,2.994,0.0,2074009.600,22800543744.0,1486848.0,4534509568.0,23130738688.0,0.0,25375535104.0,23740767.600,14201157.800
08-05 03:50:04,55.346,10.003,31.428,0.111,0.0,3.113,0.0,1674444.800,22800736256.0,1486848.0,4542300160.0,23122755584.0,0.0,25375535104.0,23632600.800,14003650.200
08-05 03:50:09,50.242,7.874,38.869,0.119,0.008,2.888,0.0,1544704.0,22801358848.0,1486848.0,4549951488.0,23114481664.0,0.0,25375535104.0,22333809.400,13394345.400
08-05 03:50:14,44.118,7.268,45.435,0.145,0.0,3.035,0.0,1423769.600,22804303872.0,1486848.0,4556902400.0,23104585728.0,0.0,25375535104.0,21628944.0,12598331.600
08-05 03:50:19,48.808,8.204,39.416,0.144,0.0,3.428,0.0,1606860.800,23086751744.0,1486848.0,4564611072.0,22814429184.0,0.0,25375535104.0,23068633.600,13398506.600
08-05 03:50:24,52.572,11.584,32.171,0.127,0.0,3.545,0.0,1669120.0,23627264000.0,1486848.0,4572577792.0,22265950208.0,0.0,25375535104.0,24915425.400,14193611.400
08-05 03:50:29,57.473,9.964,28.448,0.119,0.0,3.996,0.0,1833472.0,23710138368.0,1486848.0,4581556224.0,22174097408.0,0.0,25375535104.0,26801671.600,15887465.0
08-05 03:50:34,56.823,9.601,29.514,0.127,0.0,3.935,0.0,3622809.600,23705411584.0,1486848.0,4590415872.0,22169964544.0,0.0,25375535104.0,26281244.200,15662128.800
08-05 03:50:39,54.992,8.694,32.926,0.136,0.0,3.252,0.0,1723084.800,23699337216.0,1486848.0,4599406592.0,22167048192.0,0.0,25375535104.0,24330335.600,14629064.600
08-05 03:50:44,51.135,11.916,33.681,0.093,0.0,3.176,0.0,1566208.0,23705513984.0,1486848.0,4606500864.0,22153777152.0,0.0,25375535104.0,23513408.400,13733034.0
08-05 03:50:49,54.987,9.075,32.494,0.119,0.008,3.316,0.0,1749913.600,23697977344.0,1486848.0,4615544832.0,22152269824.0,0.0,25375535104.0,24741794.200,14761738.600
08-05 03:50:54,54.256,8.707,33.620,0.128,0.0,3.291,0.0,1717248.0,23699935232.0,1486848.0,4623208448.0,22142648320.0,0.0,25375535104.0,24785031.0,14592074.800
08-05 03:50:59,52.962,8.469,35.294,0.187,0.0,3.089,0.0,2041753.600,23696896000.0,1486848.0,4526780416.0,22242115584.0,0.0,25375535104.0,23379469.400,14111869.800
08-05 03:51:04,53.807,10.673,31.926,0.119,0.0,3.476,0.0,1674649.600,23700529152.0,1486848.0,4534747136.0,22230515712.0,0.0,25375535104.0,24422416.0,14340765.400
08-05 03:51:09,51.741,8.159,36.780,0.119,0.0,3.201,0.0,1662054.400,23697469440.0,1486848.0,4543016960.0,22225305600.0,0.0,25375535104.0,24049917.600,14162960.400
08-05 03:51:14,56.163,8.771,31.529,0.119,0.008,3.410,0.0,1765478.400,23696175104.0,1486848.0,4551872512.0,22217744384.0,0.0,25375535104.0,25237999.800,14879637.600
08-05 03:51:19,53.781,8.370,34.628,0.153,0.0,3.068,0.0,1661644.800,23695867904.0,1486848.0,4559384576.0,22210539520.0,0.0,25375535104.0,23623510.800,14085265.600
08-05 03:51:24,53.801,10.838,32.031,0.110,0.0,3.219,0.0,1695846.400,23697780736.0,1486848.0,4568010752.0,22200000512.0,0.0,25375535104.0,23962002.600,14493636.200
08-05 03:51:29,53.357,8.275,35.067,0.136,0.0,3.166,0.0,1624371.200,23696297984.0,1486848.0,4575625216.0,22193868800.0,0.0,25375535104.0,23621123.800,13977907.200
08-05 03:51:34,54.126,8.695,33.767,0.145,0.0,3.267,0.0,3489382.400,23697911808.0,1486848.0,4583702528.0,22184177664.0,0.0,25375535104.0,24636731.200,14384819.600
08-05 03:51:39,53.171,8.436,35.158,0.128,0.0,3.107,0.0,1686220.800,23695667200.0,1486848.0,4591996928.0,22178127872.0,0.0,25375535104.0,24034730.400,14401516.200
08-05 03:51:44,53.411,12.036,31.261,0.119,0.0,3.173,0.0,1635737.600,23697465344.0,1486848.0,4600012800.0,22168313856.0,0.0,25375535104.0,23701957.0,14307147.200
08-05 03:51:49,54.712,8.983,33.050,0.110,0.0,3.144,0.0,1717350.400,23693705216.0,1486848.0,4607995904.0,22164090880.0,0.0,25375535104.0,24363325.200,14541618.0
08-05 03:51:54,54.477,8.554,33.686,0.102,0.009,3.172,0.0,1675673.600,23694065664.0,1486848.0,4616855552.0,22154870784.0,0.0,25375535104.0,23875294.200,14404101.0
08-05 03:51:59,55.698,8.484,32.624,0.213,0.0,2.981,0.0,2068070.400,23693111296.0,1486848.0,4520296448.0,22252384256.0,0.0,25375535104.0,23841586.0,14140056.200
08-05 03:52:04,53.837,11.753,31.086,0.144,0.0,3.180,0.0,1666252.800,23694413824.0,1486848.0,4527943680.0,22243434496.0,0.0,25375535104.0,23518294.200,14268605.600
08-05 03:52:09,54.070,8.209,34.584,0.136,0.009,2.992,0.0,1676390.400,23692505088.0,1486848.0,4535873536.0,22237413376.0,0.0,25375535104.0,23741266.600,14028982.800
08-05 03:52:14,52.332,8.497,35.908,0.110,0.0,3.152,0.0,1636966.400,23692562432.0,1486848.0,4543987712.0,22229241856.0,0.0,25375535104.0,23910666.800,14199309.400
08-05 03:52:19,55.421,8.781,32.467,0.102,0.0,3.228,0.0,1737728.0,23691296768.0,1486848.0,4552888320.0,22221606912.0,0.0,25375535104.0,24586203.0,14566391.400
08-05 03:52:24,52.745,11.543,32.459,0.102,0.0,3.150,0.0,1638604.800,23693914112.0,1486848.0,4560244736.0,22211633152.0,0.0,25375535104.0,23256592.0,14001493.0
08-05 03:52:29,56.404,8.918,31.527,0.127,0.008,3.015,0.0,1719808.0,23692087296.0,1486848.0,4568588288.0,22205116416.0,0.0,25375535104.0,24441489.600,14575495.600
08-05 03:52:34,55.029,8.416,33.484,0.145,0.0,2.927,0.0,3423846.400,23690706944.0,1486848.0,4585119744.0,22189965312.0,0.0,25375535104.0,23395215.800,13952112.0
08-05 03:52:39,55.540,8.804,32.461,0.119,0.0,3.076,0.0,1688678.400,23691063296.0,1486848.0,4593246208.0,22181482496.0,0.0,25375535104.0,24230386.0,14523638.800
08-05 03:52:44,53.445,11.091,32.349,0.136,0.008,2.970,0.0,1581670.400,23695503360.0,1486848.0,4600926208.0,22169362432.0,0.0,25375535104.0,23051243.800,13785494.200
08-05 03:52:49,56.420,9.189,31.056,0.136,0.0,3.199,0.0,1783296.0,23689601024.0,1486848.0,4609597440.0,22166593536.0,0.0,25375535104.0,24765501.0,15009130.0
08-05 03:52:54,54.971,8.328,33.653,0.119,0.0,2.929,0.0,1658060.800,23689527296.0,1486848.0,4617957376.0,22158307328.0,0.0,25375535104.0,23719731.0,14100957.600
